xName,Manning Name,HGNC Name,Kinase Name,Group,Family,SubFamily,UniprotID,chembl_targets,type
CDC7,CDC7,CDC7,Cell division cycle 7-related protein kinase,Other,CDC7,,O00311,CHEMBL5443,SINGLE PROTEIN
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL301,SINGLE PROTEIN
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL2094126,PROTEIN COMPLEX
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL2094128,PROTEIN COMPLEX
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL2111326,SELECTIVITY GROUP
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL1907605,PROTEIN COMPLEX
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL3038469,PROTEIN COMPLEX
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL3038470,PROTEIN COMPLEX
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL3559691,PROTEIN FAMILY
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL3038517,PROTEIN FAMILY
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL4106152,PROTEIN COMPLEX
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL4106153,PROTEIN COMPLEX
CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,CHEMBL3885552,PROTEIN COMPLEX
CDK3,CDK3,CDK3,Cyclin-dependent kinase 3,CMGC,CDK,CDK2,Q00526,CHEMBL4442,SINGLE PROTEIN
CDK3,CDK3,CDK3,Cyclin-dependent kinase 3,CMGC,CDK,CDK2,Q00526,CHEMBL2111444,PROTEIN COMPLEX GROUP
CDK3,CDK3,CDK3,Cyclin-dependent kinase 3,CMGC,CDK,CDK2,Q00526,CHEMBL3038471,PROTEIN COMPLEX
CDK3,CDK3,CDK3,Cyclin-dependent kinase 3,CMGC,CDK,CDK2,Q00526,CHEMBL3559691,PROTEIN FAMILY
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL331,SINGLE PROTEIN
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL2095942,PROTEIN COMPLEX
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL2111326,SELECTIVITY GROUP
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL1907601,PROTEIN COMPLEX
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL3301385,PROTEIN COMPLEX
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL3038472,PROTEIN COMPLEX
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL3559691,PROTEIN FAMILY
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL3038517,PROTEIN FAMILY
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL4106184,PROTEIN FAMILY
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL3885548,PROTEIN COMPLEX
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL3885553,PROTEIN FAMILY
CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,CHEMBL3885554,PROTEIN COMPLEX
CDK5,CDK5,CDK5,Cyclin-dependent kinase 5,CMGC,CDK,CDK5,Q00535,CHEMBL1907600,PROTEIN COMPLEX
CDK5,CDK5,CDK5,Cyclin-dependent kinase 5,CMGC,CDK,CDK5,Q00535,CHEMBL4036,SINGLE PROTEIN
CDK5,CDK5,CDK5,Cyclin-dependent kinase 5,CMGC,CDK,CDK5,Q00535,CHEMBL3559691,PROTEIN FAMILY
CDK5,CDK5,CDK5,Cyclin-dependent kinase 5,CMGC,CDK,CDK5,Q00535,CHEMBL3885549,PROTEIN COMPLEX
CDK6,CDK6,CDK6,Cyclin-dependent kinase 6,CMGC,CDK,CDK4,Q00534,CHEMBL2508,SINGLE PROTEIN
CDK6,CDK6,CDK6,Cyclin-dependent kinase 6,CMGC,CDK,CDK4,Q00534,CHEMBL2111448,PROTEIN COMPLEX
CDK6,CDK6,CDK6,Cyclin-dependent kinase 6,CMGC,CDK,CDK4,Q00534,CHEMBL2111455,PROTEIN COMPLEX
CDK6,CDK6,CDK6,Cyclin-dependent kinase 6,CMGC,CDK,CDK4,Q00534,CHEMBL3301386,PROTEIN COMPLEX
CDK6,CDK6,CDK6,Cyclin-dependent kinase 6,CMGC,CDK,CDK4,Q00534,CHEMBL3559691,PROTEIN FAMILY
CDK6,CDK6,CDK6,Cyclin-dependent kinase 6,CMGC,CDK,CDK4,Q00534,CHEMBL3885553,PROTEIN FAMILY
CDK8,CDK8,CDK8,Cyclin-dependent kinase 8,CMGC,CDK,CDK8,P49336,CHEMBL5719,SINGLE PROTEIN
CDK8,CDK8,CDK8,Cyclin-dependent kinase 8,CMGC,CDK,CDK8,P49336,CHEMBL3038474,PROTEIN COMPLEX
CDK8,CDK8,CDK8,Cyclin-dependent kinase 8,CMGC,CDK,CDK8,P49336,CHEMBL3559691,PROTEIN FAMILY
CDK8,CDK8,CDK8,Cyclin-dependent kinase 8,CMGC,CDK,CDK8,P49336,CHEMBL3885556,PROTEIN FAMILY
PKG1,PKG1,PRKG1,cGMP-dependent protein kinase,AGC,PKG,,Q13976,CHEMBL4273,SINGLE PROTEIN
PKG2,PKG2,PRKG2,cGMP-dependent protein kinase 2,AGC,PKG,,Q13237,CHEMBL2896,SINGLE PROTEIN
CHED,CHED,CDK13,Cyclin-dependent kinase 13,CMGC,CDK,CRK7,Q14004,CHEMBL1795192,SINGLE PROTEIN
CHED,CHED,CDK13,Cyclin-dependent kinase 13,CMGC,CDK,CRK7,Q14004,CHEMBL3559691,PROTEIN FAMILY
CHK1,CHK1,CHEK1,Serine/threonine-protein kinase Chk1,CAMK,CAMKL,CHK1,O14757,CHEMBL4630,SINGLE PROTEIN
CHK1,CHK1,CHEK1,Serine/threonine-protein kinase Chk1,CAMK,CAMKL,CHK1,O14757,CHEMBL3883296,PROTEIN FAMILY
CHK2,CHK2,CHEK2,Serine/threonine-protein kinase Chk2,CAMK,RAD53,,O96017,CHEMBL2527,SINGLE PROTEIN
CHK2,CHK2,CHEK2,Serine/threonine-protein kinase Chk2,CAMK,RAD53,,O96017,CHEMBL3883296,PROTEIN FAMILY
CK1a,CK1a,CSNK1A1,Casein kinase I isoform alpha,CK1,CK1,,P48729,CHEMBL2793,SINGLE PROTEIN
CK1a,CK1a,CSNK1A1,Casein kinase I isoform alpha,CK1,CK1,,P48729,CHEMBL2111458,PROTEIN FAMILY
CK1a,CK1a,CSNK1A1,Casein kinase I isoform alpha,CK1,CK1,,P48729,CHEMBL3038493,PROTEIN COMPLEX
CK1a,CK1a,CSNK1A1,Casein kinase I isoform alpha,CK1,CK1,,P48729,CHEMBL3885539,PROTEIN COMPLEX
CK1d,CK1d,CSNK1D,Casein kinase I isoform delta,CK1,CK1,,P48730,CHEMBL2828,SINGLE PROTEIN
CK1d,CK1d,CSNK1D,Casein kinase I isoform delta,CK1,CK1,,P48730,CHEMBL2111458,PROTEIN FAMILY
CK1d,CK1d,CSNK1D,Casein kinase I isoform delta,CK1,CK1,,P48730,CHEMBL3038494,PROTEIN COMPLEX
CK1e,CK1e,CSNK1E,Casein kinase I isoform epsilon,CK1,CK1,,P49674,CHEMBL4937,SINGLE PROTEIN
CK1e,CK1e,CSNK1E,Casein kinase I isoform epsilon,CK1,CK1,,P49674,CHEMBL2111458,PROTEIN FAMILY
CK1e,CK1e,CSNK1E,Casein kinase I isoform epsilon,CK1,CK1,,P49674,CHEMBL3038494,PROTEIN COMPLEX
CK1e,CK1e,CSNK1E,Casein kinase I isoform epsilon,CK1,CK1,,P49674,CHEMBL3883308,PROTEIN-PROTEIN INTERACTION
CK1g2,CK1g2,CSNK1G2,Casein kinase I isoform gamma-2,CK1,CK1,,P78368,CHEMBL2543,SINGLE PROTEIN
CK1g2,CK1g2,CSNK1G2,Casein kinase I isoform gamma-2,CK1,CK1,,P78368,CHEMBL2111458,PROTEIN FAMILY
CK1g3,CK1g3,CSNK1G3,Casein kinase I isoform gamma-3,CK1,CK1,,Q9Y6M4,CHEMBL5084,SINGLE PROTEIN
CK2a1,CK2a1,CSNK2A1,Casein kinase II subunit alpha,CMGC,CK2,,P68400,CHEMBL3629,SINGLE PROTEIN
CK2a1,CK2a1,CSNK2A1,Casein kinase II subunit alpha,CMGC,CK2,,P68400,CHEMBL2095191,PROTEIN COMPLEX GROUP
CK2a1,CK2a1,CSNK2A1,Casein kinase II subunit alpha,CMGC,CK2,,P68400,CHEMBL3038477,PROTEIN COMPLEX
CK2a1,CK2a1,CSNK2A1,Casein kinase II subunit alpha,CMGC,CK2,,P68400,CHEMBL3832943,PROTEIN FAMILY
CK2a2,CK2a2,CSNK2A2,Casein kinase II subunit alpha',CMGC,CK2,,P19784,CHEMBL4070,SINGLE PROTEIN
CK2a2,CK2a2,CSNK2A2,Casein kinase II subunit alpha',CMGC,CK2,,P19784,CHEMBL2095191,PROTEIN COMPLEX GROUP
CK2a2,CK2a2,CSNK2A2,Casein kinase II subunit alpha',CMGC,CK2,,P19784,CHEMBL3832943,PROTEIN FAMILY
CK2a2,CK2a2,CSNK2A2,Casein kinase II subunit alpha',CMGC,CK2,,P19784,CHEMBL3883328,PROTEIN COMPLEX
CLK1,CLK1,CLK1,Dual specificity protein kinase CLK1,CMGC,CLK,,P49759,CHEMBL4224,SINGLE PROTEIN
CLK1,CLK1,CLK1,Dual specificity protein kinase CLK1,CMGC,CLK,,P49759,CHEMBL4106176,PROTEIN FAMILY
CLK2,CLK2,CLK2,Dual specificity protein kinase CLK2,CMGC,CLK,,P49760,CHEMBL4225,SINGLE PROTEIN
CLK3,CLK3,CLK3,Dual specificity protein kinase CLK3,CMGC,CLK,,P49761,CHEMBL4226,SINGLE PROTEIN
COT,COT,MAP3K8,Mitogen-activated protein kinase kinase kinase 8,STE,STE-Unique,,P41279,CHEMBL4899,SINGLE PROTEIN
FMS,FMS,CSF1R,Macrophage colony-stimulating factor 1 receptor,TK,PDGFR,,P07333,CHEMBL1844,SINGLE PROTEIN
CSK,CSK,CSK,Tyrosine-protein kinase CSK,TK,Csk,,P41240,CHEMBL2634,SINGLE PROTEIN
MARK3,MARK3,MARK3,MAP/microtubule affinity-regulating kinase 3,CAMK,CAMKL,MARK,P27448,CHEMBL5600,SINGLE PROTEIN
DAPK1,DAPK1,DAPK1,Death-associated protein kinase 1,CAMK,DAPK,,P53355,CHEMBL2558,SINGLE PROTEIN
DAPK1,DAPK1,DAPK1,Death-associated protein kinase 1,CAMK,DAPK,,P53355,CHEMBL3885543,PROTEIN-PROTEIN INTERACTION
DAPK2,DAPK2,DAPK2,Death-associated protein kinase 2,CAMK,DAPK,,Q9UIK4,CHEMBL3123,SINGLE PROTEIN
DLK,DLK,MAP3K12,Mitogen-activated protein kinase kinase kinase 12,TKL,MLK,LZK,Q12852,CHEMBL1908389,SINGLE PROTEIN
DMPK1,DMPK1,DMPK,Myotonin-protein kinase,AGC,DMPK,GEK,Q09013,CHEMBL5320,SINGLE PROTEIN
DMPK2,DMPK2,CDC42BPG,Serine/threonine-protein kinase MRCK gamma,AGC,DMPK,GEK,Q6DT37,CHEMBL5615,SINGLE PROTEIN
DNAPK,DNAPK,PRKDC,DNA-dependent protein kinase catalytic subunit,Atypical,PIKK,DNAPK,P78527,CHEMBL3142,SINGLE PROTEIN
DNAPK,DNAPK,PRKDC,DNA-dependent protein kinase catalytic subunit,Atypical,PIKK,DNAPK,P78527,CHEMBL4106136,PROTEIN COMPLEX
DYRK1B,DYRK1B,DYRK1B,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,CMGC,DYRK,DYRK1,Q9Y463,CHEMBL5543,SINGLE PROTEIN
DYRK2,DYRK2,DYRK2,Dual specificity tyrosine-phosphorylation-regulated kinase 2,CMGC,DYRK,DYRK2,Q92630,CHEMBL4376,SINGLE PROTEIN
DYRK4,DYRK4,DYRK4,Dual specificity tyrosine-phosphorylation-regulated kinase 4,CMGC,DYRK,DYRK2,Q9NR20,CHEMBL1075115,SINGLE PROTEIN
eEF2K,eEF2K,EEF2K,Eukaryotic elongation factor 2 kinase,Atypical,Alpha,eEF2K,O00418,CHEMBL5026,SINGLE PROTEIN
